,user_id,title,content,post_id,Ratings
0,2191,What you have learned so far,"1.  I have learnt how to publish and article, How to use Doc and How to create a blog",143.0,3
1,2191,What you wish to still learn,1.  I want more insight on clodinary and so on,143.0,3
2,2191,What you wish should be improved,1.  For now am OK with the setting,143.0,3
3,4,Good Afternoon People,Hey,999.0,4
4,4,Good Afternoon People,Hey,278.0,3
5,4,Good Afternoon People,Hey,999.0,3
6,4,Good Afternoon People,Hey,999.0,4
7,4,TEst,"jnlkj

  

![](/storage/4/images/img-ns1daay43o.png)![](/storage/4/images/img-860xa9equ5.png)",999.0,4
8,4,TEst,"jnlkj

  

![](/storage/4/images/img-ns1daay43o.png)![](/storage/4/images/img-860xa9equ5.png)",278.0,3
9,4,TEst,"jnlkj

  

![](/storage/4/images/img-ns1daay43o.png)![](/storage/4/images/img-860xa9equ5.png)",999.0,3
10,4,TEst,"jnlkj

  

![](/storage/4/images/img-ns1daay43o.png)![](/storage/4/images/img-860xa9equ5.png)",999.0,4
11,1,Took a long while,Yh it did,995.0,5
12,1,Took a long while,Yh it did,355.0,2
13,1,Took a long while,Yh it did,996.0,4
14,1,Took a long while,Yh it did,996.0,5
15,1,Took a long while,Yh it did,996.0,4
16,1,First,First,995.0,5
17,1,First,First,355.0,2
18,1,First,First,996.0,4
19,1,First,First,996.0,5
20,1,First,First,996.0,4
21,1,second,second![](/storage/1/images/img-ga0dlp954u.png),995.0,5
22,1,second,second![](/storage/1/images/img-ga0dlp954u.png),355.0,2
23,1,second,second![](/storage/1/images/img-ga0dlp954u.png),996.0,4
24,1,second,second![](/storage/1/images/img-ga0dlp954u.png),996.0,5
25,1,second,second![](/storage/1/images/img-ga0dlp954u.png),996.0,4
26,1,third,"third![](/storage/1/images/img-hta9olnjij.png)

  

![](/storage/1/images/img-1lqnbcohze.png)",995.0,5
27,1,third,"third![](/storage/1/images/img-hta9olnjij.png)

  

![](/storage/1/images/img-1lqnbcohze.png)",355.0,2
28,1,third,"third![](/storage/1/images/img-hta9olnjij.png)

  

![](/storage/1/images/img-1lqnbcohze.png)",996.0,4
29,1,third,"third![](/storage/1/images/img-hta9olnjij.png)

  

![](/storage/1/images/img-1lqnbcohze.png)",996.0,5
30,1,third,"third![](/storage/1/images/img-hta9olnjij.png)

  

![](/storage/1/images/img-1lqnbcohze.png)",996.0,4
31,7,YOUR HIGH IQ WILL KILL YOUR STARTUP,"<p>In 2004 I was in Brazil, walking down the hill in Lapa to get some lunch. I was with a friend who I had met in the hostel I was staying – his name was Ofer. We were having a discussion about intelligence, and what role it plays in success...",360.0,3
32,7,YOUR HIGH IQ WILL KILL YOUR STARTUP,"<p>In 2004 I was in Brazil, walking down the hill in Lapa to get some lunch. I was with a friend who I had met in the hostel I was staying – his name was Ofer. We were having a discussion about intelligence, and what role it plays in success...",355.0,4
33,7,YOUR HIGH IQ WILL KILL YOUR STARTUP,"<p>In 2004 I was in Brazil, walking down the hill in Lapa to get some lunch. I was with a friend who I had met in the hostel I was staying – his name was Ofer. We were having a discussion about intelligence, and what role it plays in success...",360.0,3
34,7,YOUR HIGH IQ WILL KILL YOUR STARTUP,"<p>In 2004 I was in Brazil, walking down the hill in Lapa to get some lunch. I was with a friend who I had met in the hostel I was staying – his name was Ofer. We were having a discussion about intelligence, and what role it plays in success...",353.0,5
35,7,A CHINESE VILLAGER WHO SELLS MORE SOFTWARE DAILY THAN YOU DO,"<p>I was alone in the center of a small Chinese town, the weakly glowing streetlights hardly illuminating the streets. The silence was heavy and absolute. It was different from the eternal light and sound of Shenzhen, and the high elevation gave the air an unusual taste...",360.0,3
36,7,A CHINESE VILLAGER WHO SELLS MORE SOFTWARE DAILY THAN YOU DO,"<p>I was alone in the center of a small Chinese town, the weakly glowing streetlights hardly illuminating the streets. The silence was heavy and absolute. It was different from the eternal light and sound of Shenzhen, and the high elevation gave the air an unusual taste...",355.0,4
37,7,A CHINESE VILLAGER WHO SELLS MORE SOFTWARE DAILY THAN YOU DO,"<p>I was alone in the center of a small Chinese town, the weakly glowing streetlights hardly illuminating the streets. The silence was heavy and absolute. It was different from the eternal light and sound of Shenzhen, and the high elevation gave the air an unusual taste...",360.0,3
38,7,A CHINESE VILLAGER WHO SELLS MORE SOFTWARE DAILY THAN YOU DO,"<p>I was alone in the center of a small Chinese town, the weakly glowing streetlights hardly illuminating the streets. The silence was heavy and absolute. It was different from the eternal light and sound of Shenzhen, and the high elevation gave the air an unusual taste...",353.0,5
39,7,BUILD AROUND YOUR DISCOVERY MECHANISM,"<p>When you launch your web application, desktop software or any other type of software, the biggest problem you are going to face is very simple, but very hard to solve: People will not find your application...",360.0,3
40,7,BUILD AROUND YOUR DISCOVERY MECHANISM,"<p>When you launch your web application, desktop software or any other type of software, the biggest problem you are going to face is very simple, but very hard to solve: People will not find your application...",355.0,4
41,7,BUILD AROUND YOUR DISCOVERY MECHANISM,"<p>When you launch your web application, desktop software or any other type of software, the biggest problem you are going to face is very simple, but very hard to solve: People will not find your application...",360.0,3
42,7,BUILD AROUND YOUR DISCOVERY MECHANISM,"<p>When you launch your web application, desktop software or any other type of software, the biggest problem you are going to face is very simple, but very hard to solve: People will not find your application...",353.0,5
43,7,DON'T ASK WHY YOU WERE REJECTED,"<p>I’ve noticed something that is not immediately obvious - rejections without explanations can be supremely helpful.</p>
<p>Imagine you are applying for a job, or for funding for a project of yours...",360.0,3
44,7,DON'T ASK WHY YOU WERE REJECTED,"<p>I’ve noticed something that is not immediately obvious - rejections without explanations can be supremely helpful.</p>
<p>Imagine you are applying for a job, or for funding for a project of yours...",355.0,4
45,7,DON'T ASK WHY YOU WERE REJECTED,"<p>I’ve noticed something that is not immediately obvious - rejections without explanations can be supremely helpful.</p>
<p>Imagine you are applying for a job, or for funding for a project of yours...",360.0,3
46,7,DON'T ASK WHY YOU WERE REJECTED,"<p>I’ve noticed something that is not immediately obvious - rejections without explanations can be supremely helpful.</p>
<p>Imagine you are applying for a job, or for funding for a project of yours...",353.0,5
47,7,THE SUNFLOWER,"<p>A field of sunflowers sat beside another field covered with grass. Perhaps long ago that grass field was a pasture for animals, but now there was nothing there except an old tractor in the corner.</p>
<p>An unusual gust of wind, going against the direction the wind usually went in that area, lifted a few sunflower seeds from a particularly full sunflower, and dropped them in the grassy field...",360.0,3
48,7,THE SUNFLOWER,"<p>A field of sunflowers sat beside another field covered with grass. Perhaps long ago that grass field was a pasture for animals, but now there was nothing there except an old tractor in the corner.</p>
<p>An unusual gust of wind, going against the direction the wind usually went in that area, lifted a few sunflower seeds from a particularly full sunflower, and dropped them in the grassy field...",355.0,4
49,7,THE SUNFLOWER,"<p>A field of sunflowers sat beside another field covered with grass. Perhaps long ago that grass field was a pasture for animals, but now there was nothing there except an old tractor in the corner.</p>
<p>An unusual gust of wind, going against the direction the wind usually went in that area, lifted a few sunflower seeds from a particularly full sunflower, and dropped them in the grassy field...",360.0,3
